acq_date,latitude,longitude,brightness,scan,track,confidence,bright_t31,frp,type,month,weekofyear,season
2019-02-28,17.55845,76.64359999999999,326.6,1.2,1.1,66.0,309.85,15.3,0.0,2,9,Winter
2019-03-01,19.343449999999997,81.65245,326.2,1.1,1.1,65.0,310.3,13.25,0.0,3,9,Winter
2019-03-02,18.19285,78.91380000000001,326.3,1.1,1.1,65.0,309.4,14.25,0.0,3,9,Winter
2019-03-03,21.4342,83.1882,324.0,1.2,1.1,66.0,308.4,14.4,0.0,3,9,Winter
2019-03-04,18.2512,79.8778,326.3,1.1,1.1,64.0,309.2,13.5,0.0,3,10,Winter
2019-03-05,23.86045,92.527,321.4,1.5,1.2,68.0,299.1,20.950000000000003,0.0,3,10,Winter
2019-03-06,18.9406,80.3998,326.8,1.1,1.0,65.0,309.0,14.2,0.0,3,10,Winter
2019-03-07,24.2246,92.54429999999999,323.85,1.1,1.0,71.0,301.1,18.55,0.0,3,10,Winter
2019-03-08,20.5059,81.593,324.1,1.1,1.1,65.0,305.8,13.0,0.0,3,10,Winter
2019-03-09,24.22835,92.92615,326.6,1.1,1.0,74.0,300.8,18.55,0.0,3,10,Winter
2019-03-10,21.958,84.89845,325.4,1.1,1.0,63.0,309.0,13.0,0.0,3,10,Winter
2019-03-11,19.75795,79.64885000000001,324.2,1.1,1.0,65.0,304.9,12.9,0.0,3,11,Winter
2019-03-12,23.9687,90.8545,322.8,1.5,1.2,68.0,300.7,21.8,0.0,3,11,Winter
2019-03-13,21.0928,81.4313,327.2,1.2,1.1,64.0,309.1,15.1,0.0,3,11,Winter
2019-03-14,23.210900000000002,90.38495,324.7,1.2,1.1,70.0,300.0,19.2,0.0,3,11,Winter
2019-03-15,22.5238,86.561,321.9,1.4,1.2,68.0,297.3,20.5,0.0,3,11,Winter
2019-03-16,25.4245,90.2658,326.4,1.1,1.0,69.0,300.4,13.1,0.0,3,11,Winter
2019-03-17,24.123,81.8343,319.5,1.0,1.0,64.0,303.0,10.8,0.0,3,11,Winter
2019-03-18,23.7354,82.0989,323.6,1.3,1.1,64.5,303.4,12.9,0.0,3,12,Winter
2019-03-19,22.7616,84.9243,326.3,1.2,1.1,64.0,308.8,15.2,0.0,3,12,Winter
2019-03-20,22.3157,83.9839,324.5,1.5,1.2,65.0,304.9,16.6,0.0,3,12,
2019-03-21,24.1901,92.16465,323.3,1.4,1.2,69.0,302.0,19.9,0.0,3,12,Spring
2019-03-22,21.4668,80.5283,329.9,1.1,1.0,66.0,310.7,16.7,0.0,3,12,Spring
2019-03-23,24.1062,92.2493,326.45,1.1,1.0,71.0,301.5,17.8,0.0,3,12,Spring
2019-03-24,20.6505,80.65395000000001,329.7,1.1,1.0,63.0,313.25,13.149999999999999,0.0,3,12,Spring
2019-03-25,22.47,79.6109,328.8,1.1,1.1,68.0,310.3,14.5,0.0,3,13,Spring
2019-03-26,22.459600000000002,82.2565,328.6,1.2,1.1,64.0,313.05,15.8,0.0,3,13,Spring
2019-03-27,22.070700000000002,79.88114999999999,331.2,1.2,1.1,66.0,315.4,17.65,0.0,3,13,Spring
2019-03-28,22.759149999999998,81.99119999999999,327.2,1.4,1.2,65.0,310.45,16.9,0.0,3,13,Spring
2019-03-29,22.7426,79.7637,332.8,1.2,1.1,69.0,316.7,17.3,0.0,3,13,Spring
2019-03-30,23.5608,80.9513,326.9,1.4,1.2,66.0,307.9,18.6,0.0,3,13,Spring
2019-03-31,22.8015,80.1757,334.7,1.1,1.0,70.0,318.8,15.4,0.0,3,13,Spring
2019-04-01,23.0036,78.4836,330.6,1.0,1.0,69.0,306.0,15.649999999999999,0.0,4,14,Spring
2019-04-02,22.59715,79.5369,325.1,1.2,1.1,67.0,304.15,12.55,0.0,4,14,Spring
2019-04-03,23.7895,91.91935000000001,328.7,1.2,1.1,72.0,300.8,18.7,0.0,4,14,Spring
2019-04-04,23.6991,86.3956,320.6,1.8,1.3,68.0,298.2,20.6,0.0,4,14,Spring
2019-04-05,22.73525,79.29214999999999,331.3,1.3,1.1,70.0,309.95,20.35,0.0,4,14,Spring
2019-04-06,22.8369,78.2736,318.3,1.2,1.1,71.0,294.6,12.5,0.0,4,14,Spring
2019-04-07,22.79705,78.30595,331.45,1.1,1.0,71.0,307.5,15.7,0.0,4,14,Spring
2019-04-08,22.8407,77.5806,329.6,1.3,1.1,69.0,307.5,19.05,0.0,4,15,Spring
2019-04-09,22.5116,78.3399,326.9,1.2,1.1,68.0,304.0,14.2,0.0,4,15,Spring
2019-04-10,22.7774,78.0376,332.1,1.1,1.0,66.0,311.7,14.0,0.0,4,15,Spring
2019-04-11,22.386049999999997,78.35079999999999,324.15,1.2,1.1,68.0,302.5,12.7,0.0,4,15,Spring
2019-04-12,22.7862,78.08055,331.75,1.2,1.1,68.0,310.0,16.55,0.0,4,15,Spring
2019-04-13,23.5709,82.6368,323.7,1.4,1.2,69.0,302.3,19.2,0.0,4,15,Spring
2019-04-14,23.4599,80.0932,330.5,1.3,1.1,69.0,307.9,21.0,0.0,4,15,Spring
2019-04-15,23.8627,82.7658,328.3,1.4,1.2,70.0,306.7,17.3,0.0,4,16,Spring
2019-04-16,23.39055,82.5571,328.95,1.1,1.1,71.0,307.2,17.15,0.0,4,16,Spring
2019-04-17,25.0733,82.6384,329.5,1.1,1.0,72.0,304.6,17.4,0.0,4,16,Spring
2019-04-18,23.8038,80.9619,332.2,1.1,1.0,71.0,312.0,16.5,0.0,4,16,Spring
2019-04-19,23.7473,78.9661,335.3,1.1,1.1,72.0,316.0,16.2,0.0,4,16,Spring
2019-04-20,23.90785,78.3669,330.0,1.3,1.1,72.0,304.8,19.65,0.0,4,16,Spring
2019-04-21,23.39685,78.84344999999999,333.7,1.2,1.1,71.0,313.65,16.95,0.0,4,16,Spring
2019-04-22,25.3599,81.2276,328.9,1.4,1.2,68.0,310.5,19.9,0.0,4,17,Spring
2019-04-23,24.87975,80.82075,335.35,1.2,1.1,73.0,317.5,19.2,0.0,4,17,Spring
2019-04-24,25.6635,80.0361,331.8,1.3,1.1,68.0,314.1,21.3,0.0,4,17,Spring
2019-04-25,23.9093,80.75075,335.65,1.1,1.1,74.0,318.2,17.45,0.0,4,17,Spring
2019-04-26,24.45955,78.87785,332.35,1.1,1.0,69.0,314.95,13.2,0.0,4,17,Spring
2019-04-27,23.6789,80.5091,328.3,1.2,1.1,69.0,306.4,14.1,0.0,4,17,Spring
2019-04-28,25.247700000000002,79.88825,329.95,1.3,1.1,69.0,303.65,16.75,0.0,4,17,Spring
2019-04-29,23.99485,77.56295,328.8,1.4,1.2,70.0,306.0,16.85,0.0,4,18,Spring
2019-04-30,23.521500000000003,77.3361,336.7,1.1,1.0,74.5,317.25,17.5,0.0,4,18,Spring
2019-05-01,29.6604,75.9658,328.2,1.1,1.1,69.0,308.1,14.4,0.0,5,18,Spring
2019-05-02,21.6593,80.81055,331.4,1.1,1.0,73.0,307.55,16.4,0.0,5,18,Spring
2019-05-03,23.7887,75.96395,330.05,1.2,1.1,71.0,304.8,14.7,0.0,5,18,Spring
2019-05-04,29.3068,76.2932,328.4,1.5,1.2,69.0,306.7,17.7,0.0,5,18,Spring
2019-05-05,29.187849999999997,76.1643,332.3,1.5,1.2,71.0,309.45,20.4,0.0,5,18,Spring
2019-05-06,29.37575,76.53965,326.5,1.5,1.2,70.0,303.5,19.45,0.0,5,19,Spring
2019-05-07,28.86235,76.73595,333.3,1.2,1.1,71.0,310.2,15.8,0.0,5,19,Spring
2019-05-08,29.504199999999997,76.0682,329.05,1.2,1.1,72.0,305.9,14.6,0.0,5,19,Spring
2019-05-09,30.361,75.5633,334.6,1.0,1.0,73.0,312.7,15.3,0.0,5,19,Spring
2019-05-10,30.429,75.3548,333.3,1.1,1.0,71.0,313.6,13.2,0.0,5,19,Spring
2019-05-11,30.6361,75.4737,333.5,1.3,1.1,73.0,313.4,18.2,0.0,5,19,Spring
2019-05-12,29.8031,76.3604,330.4,1.3,1.1,71.0,306.9,15.5,0.0,5,19,Spring
2019-05-13,30.24335,75.6456,328.85,1.6,1.3,71.5,307.05,20.9,0.0,5,20,Spring
2019-05-14,21.35405,78.0304,333.0,1.2,1.1,69.5,308.04999999999995,14.05,0.0,5,20,Spring
2019-05-15,29.9388,76.1734,327.3,1.3,1.1,67.0,304.2,13.4,0.0,5,20,Spring
2019-05-16,29.6702,76.4294,333.0,1.0,1.0,71.0,310.7,13.8,0.0,5,20,Spring
2019-05-17,29.871699999999997,77.24765,325.15,1.1,1.1,71.0,303.0,14.350000000000001,0.0,5,20,Spring
2019-05-18,22.34655,80.53354999999999,332.95,1.1,1.0,71.0,306.2,15.7,0.0,5,20,Spring
2019-05-19,29.9267,76.3295,331.6,1.2,1.1,71.0,310.6,13.9,0.0,5,20,Spring
2019-05-20,30.096049999999998,78.24265,329.6,1.3,1.1,71.0,308.65,17.45,0.0,5,21,Spring
2019-05-21,29.88805,78.3737,327.3,1.1,1.0,69.0,308.35,13.8,0.0,5,21,Spring
2019-05-22,30.3019,78.3247,323.0,1.4,1.2,71.0,303.7,16.0,0.0,5,21,Spring
2019-05-23,30.8628,76.9846,329.6,1.3,1.1,69.0,307.0,18.3,0.0,5,21,Spring
2019-05-24,31.2374,76.2844,317.9,1.1,1.1,72.0,299.1,11.5,0.0,5,21,Spring
2019-05-25,30.9277,76.9821,332.5,1.0,1.0,72.0,314.0,16.9,0.0,5,21,Spring
2019-05-26,30.701050000000002,77.21435,318.9,1.1,1.1,69.0,300.4,11.95,0.0,5,21,Spring
2019-05-27,29.68085,78.72985,327.7,1.1,1.1,68.0,305.15,14.55,0.0,5,22,Spring
2019-05-28,30.848,76.826,324.8,1.2,1.1,68.0,304.0,14.1,0.0,5,22,Spring
2019-05-29,31.7503,76.0618,324.5,1.3,1.1,74.0,301.0,16.7,0.0,5,22,Spring
2019-05-30,29.585,76.8471,330.6,1.3,1.1,69.0,307.2,16.0,0.0,5,22,Spring
2019-05-31,31.469,75.9282,317.4,1.1,1.1,74.0,299.7,11.4,0.0,5,22,Spring
2019-06-01,21.0413,80.16050000000001,329.8,1.2,1.1,63.0,300.29999999999995,14.2,0.0,6,22,Spring
2019-06-02,26.587249999999997,75.94515,332.05,1.0,1.0,70.0,306.8,10.95,0.0,6,22,Spring
2019-06-03,23.72085,81.98085,329.15,1.1,1.0,69.0,303.0,12.1,0.0,6,23,Spring
2019-06-04,23.8326,79.6419,322.0,1.2,1.1,68.0,299.4,13.6,0.0,6,23,Spring
2019-06-05,23.7732,85.1916,320.8,1.1,1.1,71.0,295.6,13.6,2.0,6,23,Spring
2019-06-06,26.6369,86.38255,322.20000000000005,1.0,1.0,68.5,300.05,10.850000000000001,0.0,6,23,Spring
2019-06-07,23.6196,85.18690000000001,325.2,1.1,1.0,64.5,299.95000000000005,13.0,2.0,6,23,Spring
2019-06-08,28.26925,79.31715,314.45000000000005,1.35,1.15,65.0,291.65,11.8,0.0,6,23,Spring
2019-06-09,27.393,92.1027,325.3,1.6,1.2,55.0,297.7,21.4,0.0,6,23,Spring
2019-06-10,22.861,84.5135,322.9,1.2,1.1,47.5,295.25,15.950000000000001,0.0,6,24,Spring
2019-06-11,28.519399999999997,75.56469999999999,323.04999999999995,1.1,1.1,55.0,301.20000000000005,10.2,0.0,6,24,Spring
2019-06-12,23.7792,80.0237,323.5,1.0,1.0,61.0,297.9,10.6,2.0,6,24,Spring
2019-06-13,23.782200000000003,85.69655,310.9,1.0,1.0,71.5,291.75,6.3,2.0,6,24,Spring
2019-06-14,23.2067,82.605,309.2,1.2,1.1,70.0,296.3,9.9,2.0,6,24,Spring
2019-06-15,19.174300000000002,80.54135,326.70000000000005,1.15,1.1,70.5,304.65,14.1,0.0,6,24,Spring
2019-06-16,22.0573,82.7169,310.4,1.1,1.1,68.0,296.7,6.1,2.0,6,24,Spring
2019-06-17,20.9644,83.8516,324.9,1.1,1.0,64.0,303.7,10.3,2.0,6,25,Spring
2019-06-18,21.7639,85.1686,316.1,1.1,1.1,69.0,298.2,10.3,2.0,6,25,Spring
2019-06-19,21.840449999999997,84.89855,326.3,1.05,1.0,61.5,303.2,11.3,2.0,6,25,Spring
2019-06-20,20.951050000000002,78.6576,323.29999999999995,1.25,1.1,60.5,297.5,13.3,0.0,6,25,Spring
2019-06-21,23.776449999999997,86.34440000000001,308.04999999999995,1.05,1.0,59.5,292.4,7.85,2.0,6,25,Summer
2019-06-22,23.747,86.3372,311.1,1.1,1.0,57.0,295.7,9.1,2.0,6,25,Summer
2019-06-23,23.74485,86.39314999999999,317.6,2.25,1.5,44.0,290.6,22.9,0.0,6,25,Summer
2019-06-24,29.964,76.513,329.15,1.2,1.1,71.0,309.0,11.0,0.0,6,26,Summer
2019-06-25,31.099600000000002,76.01335,321.70000000000005,1.25,1.1,64.0,296.0,19.35,0.0,6,26,Summer
2019-06-26,31.07995,75.6365,327.95000000000005,1.0,1.0,63.5,305.9,10.5,0.0,6,26,Summer
2019-06-27,22.0663,88.1142,309.8,1.4,1.2,73.0,289.4,9.5,2.0,6,26,Summer
2019-06-28,20.964599999999997,85.1032,306.45000000000005,1.0,1.0,58.0,289.65,6.300000000000001,2.0,6,26,Summer
2019-06-29,23.7244,85.4199,309.4,1.1,1.0,63.0,291.8,7.5,2.0,6,26,Summer
2019-06-30,22.3381,85.17855,318.4,1.4,1.2,61.0,293.95,12.95,2.0,6,26,Summer
2019-07-01,20.4484,79.6653,317.4,1.6,1.3,47.0,293.4,13.6,0.0,7,27,Summer
2019-07-02,26.15735,73.7442,322.20000000000005,1.2,1.1,58.5,293.4,17.700000000000003,0.0,7,27,Summer
2019-07-04,25.7764,79.4747,314.4,3.4,1.7,19.0,289.6,53.3,0.0,7,27,Summer
2019-07-05,22.3331,78.17765,317.5,1.3,1.1,76.0,294.0,14.75,0.0,7,27,Summer
2019-07-06,20.962,85.1861,305.8,1.0,1.0,66.0,274.8,6.2,2.0,7,27,Summer
2019-07-07,23.699550000000002,85.1887,321.6,1.4,1.2,60.0,296.55,12.600000000000001,2.0,7,27,Summer
2019-07-08,23.025,79.41720000000001,310.2,1.5,1.2000000000000002,59.0,291.0,9.3,1.0,7,28,Summer
2019-07-09,23.7221,86.2071,307.3,1.4,1.2,39.0,283.4,10.1,2.0,7,28,Summer
2019-07-10,23.7781,86.3845,315.1,1.5,1.2,65.0,290.1,12.1,2.0,7,28,Summer
2019-07-11,23.7824,85.12065,306.65,1.65,1.25,60.0,287.5,10.75,2.0,7,28,Summer
